feature,coefficient,abs_coef
numeric__number_inpatient,0.31419170374162747,0.31419170374162747
numeric__time_in_hospital,0.30154377447246467,0.30154377447246467
nominal__diag_1_group_Respiratory,-0.294802928645663,0.294802928645663
nominal__diabetes_med_Yes,0.23604293598014403,0.23604293598014403
numeric__number_diagnoses,0.17720935083622208,0.17720935083622208
nominal__admission_type_group_Unknown,0.17376676167693336,0.17376676167693336
nominal__diag_2_group_Neoplasms,0.17144822646610622,0.17144822646610622
nominal__diag_1_group_Musculoskeletal,0.1614408614841204,0.1614408614841204
nominal__diag_2_group_Respiratory,-0.14426188095180278,0.14426188095180278
nominal__age_band_[80-90),0.13432052086991647,0.13432052086991647
numeric__num_lab_procedures,0.12439817098738368,0.12439817098738368
nominal__specialty_group_Unknown,0.12295715069990441,0.12295715069990441
nominal__specialty_group_Internal Medicine,0.0904612057622527,0.0904612057622527
nominal__age_band_[70-80),0.08256361699136283,0.08256361699136283
med_ord__metformin,-0.07980333633289259,0.07980333633289259
nominal__diag_3_group_Digestive,0.07755156058114657,0.07755156058114657
nominal__age_group_senior,0.07688321856398864,0.07688321856398864
numeric__age_midpoint,0.07548334587439616,0.07548334587439616
nominal__diag_1_group_Digestive,-0.07064325548882029,0.07064325548882029
nominal__specialty_group_Emergency,-0.06889546877838557,0.06889546877838557
nominal__diag_2_group_Diabetes,0.06831274902275955,0.06831274902275955
nominal__diag_1_group_Other,-0.06528675236694048,0.06528675236694048
nominal__diag_3_group_Diabetes,0.0586097996353346,0.0586097996353346
nominal__admission_type_group_Emergency,0.05749497004164917,0.05749497004164917
nominal__race_Caucasian,0.05640065985596071,0.05640065985596071
med_ord__rosiglitazone,-0.0552912641108984,0.0552912641108984
med_ord__repaglinide,0.05483494194790576,0.05483494194790576
nominal__diag_1_group_Injury,0.05451541771090771,0.05451541771090771
numeric__number_emergency,0.05278698806223488,0.05278698806223488
nominal__gender_Male,0.050215974349982026,0.050215974349982026
nominal__specialty_group_Other,0.04533878704846299,0.04533878704846299
numeric__num_medications,0.0442706436109116,0.0442706436109116
nominal__specialty_group_Surgery,-0.04241435086492444,0.04241435086492444
med_ord__glipizide,0.031817871932800355,0.031817871932800355
nominal__diag_2_group_Genitourinary,-0.0313179083494155,0.0313179083494155
a1c_ord__a1cresult,-0.02938972276945472,0.02938972276945472
nominal__age_band_[20-30),0.0249199797693048,0.0249199797693048
med_ord__insulin,0.023306633085260212,0.023306633085260212
numeric__num_procedures,-0.019880984413142594,0.019880984413142594
numeric__num_med_changes,0.01711318990802329,0.01711318990802329
numeric__num_meds_active,-0.016412034069512305,0.016412034069512305
nominal__diag_1_group_Genitourinary,-0.015304744547737515,0.015304744547737515
nominal__diag_2_group_Other,-0.00854343857626082,0.00854343857626082
numeric__total_prior_encounters,0.007469803418850152,0.007469803418850152
med_ord__pioglitazone,-0.003037187879963794,0.003037187879963794
nominal__diag_3_group_Respiratory,0.0026742740418587165,0.0026742740418587165
nominal__diag_1_group_Neoplasms,-0.0020756701435889913,0.0020756701435889913
med_ord__glyburide,-0.0007881754209820131,0.0007881754209820131
nominal__diag_3_group_Genitourinary,0.0,0.0
nominal__diag_3_group_Musculoskeletal,0.0,0.0
nominal__diag_2_group_None,0.0,0.0
nominal__diag_3_group_Injury,0.0,0.0
nominal__diag_3_group_Other,0.0,0.0
nominal__change_No,0.0,0.0
nominal__diag_3_group_Neoplasms,0.0,0.0
nominal__diag_3_group_None,0.0,0.0
nominal__diag_2_group_Musculoskeletal,0.0,0.0
numeric__number_outpatient,0.0,0.0
nominal__diag_1_group_Diabetes,0.0,0.0
nominal__diag_2_group_Injury,0.0,0.0
nominal__diag_2_group_Digestive,0.0,0.0
nominal__admission_type_group_Newborn,0.0,0.0
med_ord__glimepiride,0.0,0.0
nominal__age_band_[90-100),0.0,0.0
nominal__age_band_[60-70),0.0,0.0
nominal__age_band_[50-60),0.0,0.0
nominal__age_band_[40-50),0.0,0.0
nominal__age_band_[30-40),0.0,0.0
nominal__age_band_[10-20),0.0,0.0
nominal__race_Other,0.0,0.0
nominal__race_Hispanic,0.0,0.0
nominal__race_Asian,0.0,0.0
glu_ord__max_glu_serum,0.0,0.0
nominal__age_group_young,0.0,0.0
